hotel_name,air_conditioning,breakfast,cleanliness,excellent_ratings,free_parking,free_wifi,hotel_class,hotel_style,house_keeping,iron,location,number_reviews,overall_rating,pool,private_balcony,refrigerator,restaurant,room_service,service,taxi_service,tv,value
Haley's Hotel and Restaurant,No,YES,4,180,YES,YES,3,"Residential Neighbourhood,Business",YES,YES,4.5,536,4,No,No,No,YES,YES,4,No,YES,4
Mansio Suites Basinghall,No,No,5,10,No,YES,4,Nil1,No,YES,5,18,4.5,No,No,YES,No,No,4.5,No,YES,4.5
The Kingston Hotel,No,No,3,75,YES,YES,3,Centrally Located,No,No,4,365,3,No,No,No,No,No,3,No,YES,3
Quay Apartments Leeds,No,No,4,46,No,YES,4,"Centrally Located, Modern",YES,YES,4,104,4,No,YES,YES,No,No,4,No,YES,3.5
Premier Inn Leeds City Centre (Wellington Street) Hotel,YES,No,4.5,669,No,No,3,"Quiet,Family",YES,No,4,"1,530",4,No,No,No,No,No,4.5,No,YES,4.5
Mercure Leeds Parkway,No,No,4,310,YES,YES,3,Nil2,YES,No,4,"1,238",3.5,YES,No,No,YES,YES,4,No,YES,4
Quebecs Luxury Apartments,YES,No,5,265,No,YES,5,"Centrally Located,Trendy",YES,YES,5,331,4.5,No,No,YES,No,No,4.5,No,YES,4.5
Holiday Inn Express Leeds East,No,YES,4.5,209,YES,YES,3,"Family,Quiet",YES,No,4,557,4,No,No,No,No,No,4.5,No,YES,4.5
The Wrens Hotel,No,No,3,31,No,No,3,Centrally Located,No,No,4.5,66,4,No,No,No,No,No,4,No,YES,4
Premier Inn Leeds East hotel,No,No,4.5,387,YES,No,3,"Family,Modern",YES,No,4.5,880,4,No,No,No,YES,No,4.5,No,YES,4.5
Roomzzz Aparthotel Leeds City West,No,YES,4.5,360,No,YES,4,"Modern,Business",YES,YES,4,686,4.5,No,No,YES,No,No,4.5,No,YES,4.5
Mercure Wetherby Hotel,No,No,3.5,186,YES,YES,3,Nil3,YES,YES,4,"1,068",3.5,No,No,No,YES,YES,3.5,No,YES,3.5
Britannia Leeds Hotel,No,No,3,145,YES,No,3,Nil4,YES,YES,3,"1,206",2.5,No,No,No,YES,YES,3,No,YES,3
Holiday Inn Leeds Garforth,No,No,3.5,211,YES,YES,3,Nil5,YES,No,4,993,3.5,YES,No,No,YES,YES,4,No,YES,3.5
Holiday Inn Express Leeds Armouries,YES,YES,4,197,No,YES,3,Modern,YES,No,4,991,3.5,No,No,No,YES,No,4,No,YES,4
Corn Mill Lodge Hotel,No,No,4.5,252,YES,YES,3,"Family,Mid-range",No,YES,4,659,4,No,No,No,YES,No,4,No,YES,4.5
Peasehill House,No,No,4,112,YES,YES,3,"Family,Business",No,No,4,217,4,No,No,No,No,No,4.5,No,YES,4
Weetwood Hall Estate,No,No,4.5,401,YES,YES,4,"Mid-range,Business",YES,No,4,"1,136",4,No,No,No,YES,YES,4,No,YES,4
Willow Cottage,No,YES,5,438,YES,YES,4,Great View,YES,No,4.5,480,5,No,No,No,No,No,5,No,YES,5
Best Western Plus Milford Hotel,YES,No,5,935,YES,YES,3.5,"Business,Quiet",No,No,4,"1,327",4.5,No,No,No,YES,YES,4.5,No,YES,4.5
The Chambers Park Place,YES,No,5,535,No,YES,4,"City View,Charming",YES,YES,5,582,5,No,YES,YES,No,No,5,No,YES,4.5
Mercure Leeds Centre Hotel,YES,No,4.5,55,No,YES,4,"Mid-range,Boutique",YES,No,4.5,159,3.5,No,No,YES,No,YES,4,No,YES,3.5
Roomzzz Aparthotel Leeds City,YES,YES,4.5,449,No,YES,4,"City View,Modern",YES,YES,5,688,4.5,No,No,YES,No,No,4.5,No,YES,4.5
Holiday Inn Express Leeds City Centre,YES,YES,4.5,255,No,YES,3,"Family,Modern",YES,No,3.5,770,4,No,No,No,YES,No,4,No,YES,4
Ascot Grange Hotel,No,No,4,178,YES,YES,2,Business,YES,No,4.5,552,4,No,No,No,YES,No,4,No,YES,4
Headingley Lodge,No,No,4,164,YES,YES,4,Great View,No,No,4.5,427,4,No,No,YES,No,No,4,No,YES,4
KSpace Waterloo Court Apartments,No,No,4.5,36,No,YES,4,"Centrally Located,Business",No,No,4.5,61,4.5,No,No,YES,No,No,4.5,No,No,4.5
The Old Vicarage Hotel,No,No,1.5,8,YES,No,3,Budget,No,No,2.5,212,1.5,No,No,No,No,No,2,No,YES,2
Swan & Talbot,No,YES,2,12,YES,YES,3,Nil6,No,YES,4,28,3.5,No,No,No,YES,No,4,No,YES,5
Premier Inn Leeds City Centre (Whitehall Road) hotel,YES,No,4.5,421,No,No,3,"Quiet,Family",YES,YES,4.5,623,4.5,No,No,No,YES,No,4.5,No,YES,4.5
Art Hostel,No,YES,4.5,13,No,YES,2,Centrally Located,No,No,5,32,4,No,No,No,No,No,4.5,No,No,3.5
Mansio Suites Headrow,No,No,5,127,No,YES,5,"Modern,Romantic",No,YES,5,178,4.5,No,No,YES,No,No,4.5,No,YES,5
Glengarth Hotel,No,YES,4,16,YES,YES,3,Budget,No,No,4,96,3.5,No,No,No,No,No,4,No,No,4
The Avenue,No,No,3.5,38,YES,YES,2,Budget,No,No,3.5,164,3,No,No,No,YES,No,4,No,YES,3.5
High Bank Hotel,No,No,3.5,15,YES,YES,2,Budget,No,No,3.5,134,3,No,No,No,No,No,3.5,No,YES,3.5
